Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acc_id,acc_username,acc_pw,acc_email,acc_last_login,acc_premium,acc_payment_token,,,Allianzen,,,,,,Chatrooms,,,,,Forum,,,,,Foreneinttrag,,,,,
1,mwilne0,c7d149feca6314c0228355160c4721feecd32d88c04883bf7d920bc0ad0d77fe,mhasser0@prweb.com,2021-04-16 16:31:42,0,076d77d240263e0a31ffeccbd3b44add619455b049318016fbaa06e793aa1e69,,,id,name,beschreibung,date_of_creation,,,id,topic,date_of_creation,al_id(FK),,id,topic,dateofcreation,al_id(FK),,id,acc_id(FK),fo_id(FK),titel,inhalt,dateofcreation
2,wdownage1,6852a5bc088e9de1c199b332cb101b4abe47997648dfa3cd8ffc284cde0a803d,gfeeham1@artisteer.com,2021-06-13 20:45:03,0,ca6e1bcb7f81b4c12402eaad8d0af880a55f806590310631e8354692167aaba5,,,1,Destroyers of the universe,We like to pillage. Do you like to pillage? Come join us.,2021-10-01 17:12:11,,,1,General,2021-10-01 17:12:11,1,,1,,2021-10-01 17:12:12,,,1,,,,,
3,nkacheler2,00790fb9d062e44f05a15a03bd0f0d5f17d953577bd73505967da4edb71b42fd,tgaishson2@princeton.edu,2021-10-10 00:44:36,1,1d2fc30251c267930a71a793cf6433b9bec25c0734ae1f0aeae9100dc11a5689,,,2,Moneyclub 3000,Join for free gold,2021-01-25 03:13:05,,,2,General,2021-01-25 03:13:05,3,,2,,2021-01-25 03:13:06,,,2,,,,,
4,mbeamont3,27bb29008aeebf2b09882658b329af598b8715114d8fd54ab04caf0c48072508,bpowter3@sphinn.com,2021-07-12 22:52:05,1,d8bbe7fd49e56b77e8a7ead17e35ce026b35abfba7969e48bd74e1d0cb556e62,,,3,The one and only,"Die einzige Gilde, die diese Welt braucht",2020-12-24 00:32:22,,,3,General,2020-12-24 00:32:22,2,,3,,2020-12-24 00:32:23,,,3,,,,,
5,bnorthridge4,31c169d96c5020b58d7350abf9866242135c40316185ecd84b1421d1570f9dbd,swhellans4@fema.gov,2021-07-09 11:53:48,0,e2f051fb85997d2d9085c37bc50f70cc765af5abc94428b2bbde3ad27d074f00,,,4,Emo ist so 2008,"Alles ist doof, wenn du auch alles doof findest, werden wir Freunde.",2021-08-25 17:02:24,,,4,General,2021-08-25 17:02:24,4,,4,,2021-08-25 17:02:25,,,4,,,,,
6,sfransman5,60b0dc7be9b1f6f9ce024048f178b67ae893179d63ba71b2a1243d529c797768,yconfait5@chronoengine.com,2021-10-03 22:51:16,0,1b2b9d378a52e0a7a55b472b83487cb3b814c7447f94362584637e4cf41650ed,,,5,XKCD Fanclub,For all the fellow science nerds.,2021-02-28 03:36:42,,,5,General,2021-02-28 03:36:42,6,,5,,2021-02-28 03:36:43,,,5,,,,,
7,nocoskerry6,67f17401a8bbaf5c5b7750759abf80aa3fe419f2c08b52b0499d05eebc4a5a60,chuntington6@rambler.ru,2021-05-06 13:24:45,1,5bfd00cf504c658033dbf82ed2b215618223efbad93b7ac57771ec2385db0dea,,,6,Definitely not cops,Have you heard new ways of making money online lately? Come join us.,2021-10-17 21:55:08,,,6,Angriffsplanung,2021-10-17 21:55:08,1,,6,,2021-10-17 21:55:09,,,6,,,,,
8,dparker7,9e7d45b47e644a6a5057d5140a39a49229895308cbd0d5fb9f1a5f0a6b44429a,dgilks7@reuters.com,2021-04-04 23:47:55,0,15e142a739774798c2952053fff4c7d41d020443610e83762a85eb7c966ecdda,,,7,Allianzname,Hier koennte ihre Werbung stehen.,2021-11-19 23:08:25,,,7,Kaffeerunde,2021-11-19 23:08:25,1,,,,,,,7,,,,,
9,vgoford8,08e6a482dc434773473b54a32f5b95dc70c98324cadb370c7840736755e63a46,bjelf8@360.cn,2021-09-05 04:19:32,0,ca85b1bbaf07298011d3b335aada10abb1f9804e300c1b2fb573be8039efd6b0,,,8,Masters of fun,"Wir wollen einfach ein bisschen Spaß haben, ganz stressfrei. Klingt gut? Schließ dich uns an!",2021-08-10 13:01:35,,,8,Lebensberatung,2021-08-10 13:01:35,2,,,,,,,8,,,,,
10,cshatford9,38225d5344654f873795085751477092e847a09c50eee9b91d9502dcefc71a04,mmcgannon9@alibaba.com,2021-01-09 07:21:41,0,dcddd069af4978d7ec32f2a27bfb78a594382a5c7083473b63750f266fcb4498,,,,,,,,,,,,,,,,,,,,,,,,
11,emcilvoraya,a874e8871ef1674d8a2c55c67d080a3d1651fa7a0c61d8b11eb4305daef15ec1,nstotera@zdnet.com,2021-02-19 18:01:40,1,92c118b7c087e374745e48891f0ff1660a635bbf3185ecb5404483240a6980da,,,,,,,,,,,,,,,,,,,,,,,,
12,tgooddingb,342916db06f7b53921c2807ebbdc13e516580ed27fabcc74d21538fe86c218f0,hheaysmanb@devhub.com,2021-09-13 17:29:01,0,260b04edcdde6404fe55438cbd47dc8b35513b9dac5d87413b37be4820d3fa4c,,,,,,,,,,,,,,,,,,,,,,,,
